# SPECTRUM - DATA AND BEST FITTING MODEL.
# FOR PLOTTING
#
# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
#     2MASS0817
#     ~/ModelFittingTools/ExampleFitting1/sampledata1/
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     IGRINS
#     SONORA-BOBCAT
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     ~/ModelFittingTools/ExampleFitting1/SonoraBobcatModelNames.txt
#     m100
#     1.779,1.798
#     1.779,1.798
#     0
#     ~/ModelFittingTools/ExampleFitting1/
#     Sept10_2022
#     21
#     23
#     0.5
#     8
#     11
#     0.5
#     0.6
#     0.01405
#     35
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     Quadratic
#     -7.0
#     1
#
# MODEL IS: sp_t1200g3160nc_m0.0
# VSINI IS: 22.000000
# RV IS: 10.500000
# DATA divided by quadratic (ax^2 + bx + c) -- a: -357.17147
# DATA divided by quadratic (ax^2 + bx + c) -- b: 1280.2255
# DATA divided by quadratic (ax^2 + bx + c) -- c: -1146.2311
# reduced chi square is:        19.652490
#
# wavelength (um),    data flux,      uncertainty,     model flux
       1.7837387       1.0823215     0.033049172       1.2346288
       1.7837511      0.99691847     0.033115489       1.1733245
       1.7837636      0.95514251     0.032827279       1.1263308
       1.7837760      0.96055373     0.033673145       1.0931515
       1.7837885      0.94231869     0.033587704       1.0736993
       1.7838009      0.93557978     0.033946103       1.0687707
       1.7838134      0.97038600     0.034134626       1.0782764
       1.7838258      0.92146884     0.033620186       1.1018220
       1.7838383      0.92265917     0.032724855       1.1350981
       1.7838507      0.98835336     0.032080917       1.1738439
       1.7838632       1.0796202     0.032050113       1.2175750
       1.7838756       1.1299035     0.032037416       1.2682851
       1.7838881       1.1314207     0.032577825       1.3288919
       1.7839005       1.1793252     0.032689314       1.3979816
       1.7839130       1.3045960     0.032252787       1.4709791
       1.7839254       1.4566211     0.032597667       1.5395845
       1.7839378       1.5043467     0.032906879       1.5986585
       1.7839503       1.4875310     0.032601994       1.6453737
       1.7839627       1.5809246     0.032469211       1.6799591
       1.7839751       1.6531483     0.032596813       1.7035264
       1.7839876       1.6426855     0.032896186       1.7172404
       1.7840000       1.6743991     0.033464945       1.7228256
       1.7840124       1.7224806     0.034091219       1.7219288
       1.7840249       1.7883641     0.033934648       1.7150891
       1.7840373       1.7782255     0.033952307       1.7019679
       1.7840497       1.8706501     0.034087677       1.6823976
       1.7840621       1.9137683     0.034541152       1.6574230
       1.7840745       1.8925712     0.034813073       1.6268334
       1.7840870       1.9168710     0.034361274       1.5913923
       1.7840994       1.7927715     0.034825619       1.5511780
       1.7841118       1.7897217     0.035259980       1.5040363
       1.7841242       1.6565118     0.035339507       1.4455517
       1.7841366       1.5606885     0.034963175       1.3748147
       1.7841490       1.4953992     0.035416130       1.2941620
       1.7841614       1.3771890     0.035511805       1.2067696
       1.7841739       1.2683143     0.036107838       1.1152093
       1.7841863       1.1348496     0.036400062       1.0210243
       1.7841987       1.1394622     0.038425709      0.92398007
       1.7842111      0.99478903     0.043151600      0.82742379
       1.7842235      0.97512939     0.049944819      0.73550722
       1.7842359      0.82250565     0.057269504      0.65220923
       1.7842483      0.70752896     0.059751827      0.57947266
       1.7842607      0.66900520     0.057553654      0.51878552
       1.7842731      0.52689898     0.048979384      0.47181429
